shipment_id,buyer_id,product_id,product_description,hs_code,quantity,unit_price,total_fob,incoterm,freight_cost,customs_status,drawback_amount,payment_status,days_to_payment,transit_time_days
SHIP_1000,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,859,5.43,4664.37,CIF,1001,cleared,93.29,received,24,19
SHIP_1001,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,858,5.75,4933.5,EXW,678,cleared,98.67,received,47,28
SHIP_1002,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,195,5.63,1097.85,FOB,976,cleared,21.96,received,42,34
SHIP_1003,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,303,5.55,1681.65,EXW,1830,cleared,33.63,received,44,28
SHIP_1004,B_UAE_02,P002,Silk Scarf Premium,621410,703,21.24,14931.72,CIF,513,cleared,298.63,received,20,37
SHIP_1005,B_UAE_02,P004,Decorative Ceramic Vase,691310,384,11.59,4450.56,FOB,940,cleared,89.01,received,31,18
SHIP_1006,B_UAE_02,P001,Organic Cotton T-shirt 100% knitted,610910,199,5.26,1046.74,CIF,1204,cleared,20.93,received,48,23
SHIP_1007,B_GER_03,P001,Organic Cotton T-shirt 100% knitted,610910,570,5.7,3249.0,EXW,755,cleared,64.98,received,34,17
SHIP_1008,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,949,8.08,7667.92,EXW,1766,cleared,153.36,received,33,33
SHIP_1009,B_GER_03,P002,Silk Scarf Premium,621410,171,22.46,3840.66,FOB,1854,cleared,76.81,received,24,39
SHIP_1010,B_USA_01,P003,Leather Handbag Genuine,420221,975,42.84,999.99,FOB,706,cleared,835.38,received,34,23
SHIP_1011,B_GER_03,P004,Decorative Ceramic Vase,691310,954,12.56,11982.24,CIF,833,cleared,239.64,received,33,26
SHIP_1012,B_GER_03,P002,Silk Scarf Premium,621410,373,22.73,8478.29,EXW,1899,cleared,169.57,received,14,34
SHIP_1013,B_GER_03,P002,Silk Scarf Premium,621410,846,21.37,18079.02,FOB,834,cleared,361.58,received,39,27
SHIP_1014,B_GER_03,P003,Leather Handbag Genuine,420221,804,43.57,35030.28,EXW,949,cleared,700.61,received,30,39
SHIP_1015,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,941,5.33,5015.53,FOB,1146,cleared,100.31,received,35,23
SHIP_1016,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,680,5.39,3665.2,EXW,1144,cleared,73.3,received,23,35
SHIP_1017,B_UAE_02,P004,Decorative Ceramic Vase,691310,758,12.03,9118.74,CIF,792,cleared,182.37,received,26,19
SHIP_1018,B_GER_03,P002,Silk Scarf Premium,621410,674,21.85,14726.9,EXW,1038,cleared,294.54,received,47,28
SHIP_1019,B_UAE_02,P005,Basmati Rice 5kg Export Grade,100630,470,7.83,3680.1,FOB,783,cleared,73.6,received,42,30
SHIP_1020,B_USA_01,P001,Organic Cotton T-shirt 100% knitted,610910,981,5.56,999.99,FOB,813,cleared,109.09,received,50,20
SHIP_1021,B_GER_03,P004,Decorative Ceramic Vase,691310,165,11.57,1909.05,CIF,1281,cleared,38.18,received,48,29
